FESA3,CIA FERRO LIGAS BAHIA FERBASA
FLRY3,FLEURY S.A.
GBIO33,BIOTOSCANA INVESTMENTS S.A.
GEPA3,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA"
GEPA4,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA"
GFSA3,GAFISA SA
GOAU4,METALURGICA GERDAU SA
GOLL1,GOL LINHAS AEREAS INTELIGENTES SA
GOLL4,GOL LINHAS AEREAS INTELIGENTES SA
GRND3,GRENDENE SA
GSHP3,GENERAL SHOPPING BRASIL SA
HBOR3,HELBOR EMPREENDIMENTOS S/A
HOOT4,HOTEIS OTHON SA
HYPE3,HYPERA S.A.
IGBR3,GRADIENTE ELETRONICA S A
IGTA3,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A
INEP3,INEPAR ENERGIA SA
INEP4,INEPAR ENERGIA SA
IRBR3,IRB - BRASIL RESSEGUROS S.A.
ITSA4,ITAÚSA - INVESTIMENTOS ITAÚ S.A.
ITUB3,CIA DOCAS DE IMBITUBA
ITUB4,CIA DOCAS DE IMBITUBA
JBSS3,JBS S.A.
JHSF3,JHSF PARTICIPAÇÕES SA
KLBN1,KLABIN S.A.
KLBN3,KLABIN S.A.
KLBN4,KLABIN S.A.
LAME3,LOJAS AMERICANAS SA
LAME4,LOJAS AMERICANAS SA
LCAM3,COMPANHIA DE LOCAÇÃO DAS AMÉRICAS
LEVE3,MAHLE METAL LEVE S.A.
LINX3,LINX S.A.
LIQO3,LIQ PARTICIPAÇÕES S.A.
LLIS3,LE LIS BLANC DEUX COM. CONF. ROUPAS S.A.
LOGG3,LOG COMMERCIAL PROPERTIES
LPSB3,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.
LREN3,LOJAS RENNER SA
LUPA3,ALUPAR INVESTIMENTOS S/A
LWSA3,LOCAWEB SERVIÇOS DE INTERNET S.A.
MDIA3,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS
MDNE3,MOURA DUBEUX ENGENHARIA S/A
MGLU3,MAGAZINE LUIZA S.A.
MMXM1,MMX MINERAÇÃO E METÁLICOS S.A.
MMXM3,MMX MINERAÇÃO E METÁLICOS S.A.
MNDL3,MUNDIAL S/A - PRODUTOS DE CONSUMO 
MOVI3,MOVIDA PARTICIPACOES SA
MRFG3,MARFRIG FRIGORIFICOS E COM DE ALIM S.A.
MRVE3,MRV ENGENHARIA E PARTICIPAÇÕES S/A
MTRE3,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
MULT3,Multiplus S.A.
MYPK3,IOCHPE-MAXION SA
NEOE3,NEOENERGIA S.A.
NTCO3,NATURA &CO HOLDING S.A.
ODPV3,ODONTOPREV S.A.
OIBR3,OI S.A.
OIBR4,OI S.A.
OSXB3,OSX BRASIL S.A.
PARD3,INSTITUTO HERMES PARDINI S.A.
PCAR3,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO
PDGR3,PDG REALTY S.A. EMPREEND E PARTICIPACOES
PETR3,PETROBRAS DISTRIBUIDORA S/A
PETR4,PETROBRAS DISTRIBUIDORA S/A
PMAM3,PARANAPANEMA SA
PNVL3,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS
